company,label,n,min_tapeyear,max_tapeyear,words
"MALIBU MEDIA, LLC",organization,6628,2012,2099,3
"STRIKE 3 HOLDINGS, LLC",organization,4549,2018,2099,4
"BROADCAST MUSIC, INC., ET AL",organization,1145,1990,2099,5
MALIBU MEDIA LLC,organization,1124,2012,2099,3
ATLANTIC RECORDING CORPORATION,organization,696,1991,2010,3
ELEKTRA ENTERTAINMENT GROUP IN,organization,652,2004,2099,4
"BROADCAST MUSIC INC, ET AL",organization,602,1990,2099,5
"BRIDGEPORT MUSIC INC, ET AL",organization,579,1994,2009,5
BROADCAST MUSIC INC,organization,561,1988,2009,3
SONY BMG MUSIC ENTERTAINMENT,organization,536,2005,2099,4
WARNER BROS. RECORDS INC.,organization,533,1989,2010,4
"BROADCAST MUSIC, INC.",organization,506,1988,2099,3
"UMG RECORDINGS, INC.",organization,503,2004,2015,3
MICROSOFT CORPORATION,organization,489,1988,2019,2
BMG MUSIC,organization,456,1990,2009,2
"CAPITOL RECORDS, INC.",organization,453,2004,2011,3
ARISTA RECORDS LLC,organization,426,2005,2099,3
INTERSCOPE RECORDS,organization,366,1999,2009,2
"COLUMBIA PICTURES, ET AL",organization,355,1988,2009,4
"BROADCAST MUSIC, INC, ET AL",organization,350,1990,2021,5
MICROSOFT CORP,organization,341,1988,2014,2
"VIRGIN RECORDS AMERICA, INC.",organization,338,1990,2009,4
PRIORITY RECORDS LLC,organization,332,1999,2009,3
"UMG RECORDINGS, INC., ET AL",organization,280,2001,2099,5
MAVERICK RECORDING COMPANY,organization,279,2004,2009,3
RIGHTHAVEN LLC,organization,273,2010,2013,2
BROADCAST MUSIC,organization,266,1988,2007,2
"JOE HAND PROMOTIONS, INC.",organization,247,1992,2099,4
STAR FABRICS INC,organization,218,2008,2019,3
"COBBLER NEVADA, LLC",organization,216,2015,2017,3
"UNIVERSAL CITY, ET AL",organization,211,1992,2004,4
FONOVISA INC,organization,199,1992,2007,2
"PATRICK COLLINS, INC.",organization,199,2011,2099,3
"DALLAS BUYERS CLUB, LLC",organization,199,2014,2099,4
"MOTOWN RECORD COMPANY, L.P.",organization,185,2005,2008,4
"BMG MUSIC, ET AL",organization,182,1991,2099,4
WARNER BROS RECORDS INC,organization,181,2004,2008,4
"BROADCAST MUSIC, ET AL",organization,179,1990,2017,4
"SONY BMG MUSIC ENTERTAI, ET AL",organization,170,2007,2018,6
"LHF PRODUCTIONS, INC.",organization,165,2016,2019,3
CAPITOL RECORDS INC,organization,160,2004,2009,3
AF HOLDINGS LLC,organization,159,2012,2016,3
"ARISTA RECORDS LLC, ET AL",organization,158,2005,2016,5
"ME2 PRODUCTIONS, INC.",organization,157,2017,2020,3
"GOOD MAN PRODUCTIONS, INC.",organization,156,2015,2016,4
"STAR FABRICS, INC.",organization,155,2008,2099,3
"SEAL 1, ET AL",organization,151,1993,1999,4
"YESH MUSIC, LLC",organization,147,2012,2099,3
MICROSOFT CORP.,organization,144,1989,2008,2
"FONOVISA, INC.",organization,143,1994,2009,2
MANNY FILM LLC,organization,140,2015,2016,3
"ELEKTRA ENTERTAINMENT GROUP, I",organization,140,2005,2009,4
BDC MUSIC INC,organization,139,1988,1994,3
UMG RECORDINGS INC,organization,138,2004,2009,3
"WALT DISNEY COMPANY, ET AL",organization,138,1991,1998,5
PLASTIC THE MOVIE LIMITED,organization,134,2015,2016,4
"UNICOLORS, INC.",organization,128,2008,2099,2
"INTERSCOPE RECORDS, ET AL",organization,126,2004,2010,4
"WARNER BROS. RECORDS, INC.",organization,126,2004,2009,4
"SCHOLZ DESIGN, INC.",organization,118,1992,2013,3
TWENTIETH CENTURY FOX FILM COR,organization,118,1990,2017,5
"LIVE FACE ON WEB, LLC",organization,117,2010,2099,5
STRIKE 3 HOLDINGS LLC,organization,113,2018,2020,4
"WB MUSIC CORP., ET AL",organization,112,1991,2099,5
BWP MEDIA USA INC.,organization,111,2013,2018,4
"ATLANTIC RECORDING CORP, ET AL",organization,111,2007,2099,5
"TCYK, LLC",organization,110,2013,2017,2
DISNEY ENTERPRISES,organization,109,1996,2007,2
WARNER BROS. ENTERTAINMENT INC,organization,108,2004,2099,4
ADOBE SYSTEMS INCORPORATED,organization,106,2002,2020,3
"PEARSON EDUCATION, INC., ET AL",organization,103,2007,2099,5
"BODYGUARD PRODUCTIONS, INC.",organization,102,2018,2020,3
MASTERFILE CORPORATION,organization,101,2005,2019,2
"DISNEY ENTERPRISES, ET AL",organization,95,1997,2006,4
PARAMOUNT PICTURES CORPORATION,organization,93,1990,2015,3
WARNER BROS HOME ENTERTAINMENT,organization,92,2013,2014,4
VIRGIN RECORDS AMERICA INC,organization,90,2005,2008,4
"DISNEY ENTERPRISES, INC.",organization,89,1998,2016,3
"STAR FABRICS INC, ET AL",organization,89,2012,2099,5
"L.A. PRINTEX INDUSTRIES, INC.",organization,88,2007,2018,4
"ATLANTIC RECORDING, ET AL",organization,86,1992,2009,4
CORBIS CORPORATION,organization,85,2002,2015,2
LONDON-SIRE RECORDS INC.,organization,85,2004,2009,3
"HOME DESIGN SERVICES, INC.",organization,85,2006,2016,4
"WARNER BROS. RECORDS IN, ET AL",organization,83,2006,2099,6
DISNEY ENTERPRISES INC,organization,81,2004,2013,3
"MICHAEL GRECCO PRODUCTIONS, IN",organization,80,2016,2099,4
"DON KING PRODUCTIONS, INC.",organization,79,2004,2009,4
"BROADCAST MUSIC, INC",organization,78,1988,2008,3
GOLD VALUE INTERNATIONAL TEXTI,organization,77,2010,2099,4
L A PRINTEX INDUSTRIES INC,organization,77,2005,2014,5
"COLUMBIA PICTURES INDUSTRIES,",organization,76,1991,2012,3
"VENICE PI, LLC",organization,76,2017,2019,3
"CONTROVERSY MUSIC, ET AL",organization,75,1999,2013,4
TY INC,organization,74,1994,2002,2
"DALLAS BUYERS CLUB, LLC.",organization,73,2014,2016,4
"WARNER BROS. RECORDS, ET AL",organization,73,1991,2008,5
"KIESELSTEIN-CORD, ET AL",organization,70,1993,2009,3
"MINDEN PICTURES, INC.",organization,70,2014,2099,3
"JOHN WILEY & SONS, INC.",organization,70,2005,2019,5
"UMG RECORDINGS INC, ET AL",organization,69,2002,2015,5
"ENERGY INTELLIGENCE GRO, ET AL",organization,68,2009,2099,5
"PRIORITY RECORDS LLC, ET AL",organization,67,2004,2009,5
UNICOLORS INC,organization,66,2007,2018,2
