corp,LPERMCO,start_fyear,end_fyear,active,count,min_fyear,max_fyear
"oriental trading company, inc",540,1976,2023,0,9643,1983,2015
"richard d irwin, inc.",1366,1975,1988,0,3448,1978,1995
"american honda motor company, inc",2172,1972,2023,0,3088,1979,2007
"sybex, inc",4922,2005,2023,0,1863,1979,2005
tds telecom,5230,1981,2023,0,1387,1996,2011
"clement communications, inc",7113,2007,2023,0,2337,1981,1996
"lyndacom, inc.",8048,2016,2023,0,3060,2004,2015
linkedin corporation,8048,2016,2023,0,1890,2016,2018
"fitz and floyd, inc",10959,2017,2023,0,3267,1978,1999
warner bros entertainment inc.,11412,2001,2018,0,12713,2007,2021
dc comics,11412,2001,2018,0,8850,1990,2021
"home box office, inc",11412,2001,2018,0,5184,1978,2021
"the cartoon network, inc",11412,2001,2018,0,4745,2007,2021
"warner brothers, inc",11412,2001,2018,0,3546,1978,2011
belwin-mills publishing corporation,11412,2001,2005,0,3079,1978,2004
"hanna-barbera productions, inc",11412,2001,2018,0,2015,1978,2017
"superstation, inc",11412,2001,2018,0,1534,1997,2013
"durkan patterned carpet, inc",11446,1999,2023,0,1290,1994,2008
"durkan enterprises, inc",11446,1999,2023,0,1288,1982,1992
"chicos retail services, inc",12036,1983,2023,0,2767,2003,2009
"university of phoenix, inc, a subsidiary of apollo group, inc.",13457,1994,2017,0,7294,1994,2013
"brilliance audio, inc",15473,2007,2023,0,5102,2006,2015
amazon content services llc,15473,2014,2023,0,1616,2014,2021
"costar realty information, inc",16188,1998,2023,0,3509,1998,2019
michigan bell telephone company,20088,1984,1991,0,1383,1978,1991
southwestern bell telephone company,20103,1978,1983,0,2531,1978,1983
michigan bell telephone company,20103,1978,1984,0,1383,1978,1991
new york telephone company,20103,1978,1984,0,1352,1978,1984
gte directories corporation,20288,2000,2023,0,3095,1984,2002
verizon directories corporation,20288,2000,2023,0,2039,2000,2007
verizon directory services,20288,2001,2023,0,1256,2001,2006
"holt, rinehart and winston",20354,1978,1985,0,1600,1978,2007
w b. saunders company,20354,1978,1985,0,1565,1978,2002
"holt, rinehart and winston, inc",20354,1978,1985,0,1290,1979,1997
"american broadcasting companies, inc",20389,1985,1996,0,31139,1985,2021
abc news,20389,1985,1996,0,1514,1992,2010
gulfstream aerospace corporation,20446,1985,1989,0,2805,1985,2018
"american broadcasting companies, inc",20587,1996,2021,0,,,
"disney enterprises, inc",20587,1996,2021,0,30702,1996,2021
twentieth century fox film corporation,20587,2019,2023,0,9128,1993,2013
walt disney productions,20587,1957,2023,0,4170,1978,2019
"marvel characters, inc",20587,2009,2023,0,2948,1996,2021
walt disney music company,20587,1978,2023,0,2300,1978,2021
"wonderland music company, inc",20587,1978,2023,0,2015,1979,2021
abc news,20587,1996,2023,0,1514,1992,2010
"ngc network international, llc",20587,2019,2023,0,1333,2014,2021
gte directories corporation,20776,1982,2000,0,3095,1984,2002
gte directories service corporation,20776,1991,2000,0,1598,1991,1994
harcourt brace & company,20789,1992,2001,0,3124,1992,2000
steck-vaughn company (employer for hire),20789,1998,2001,0,1724,1992,2004
"holt, rinehart and winston",20789,1991,2001,0,1600,1978,2007
psychological corporation,20789,1992,2001,0,1585,1992,2003
w b. saunders company,20789,1991,2001,0,1565,1978,2002
"holt, rinehart and winston, inc",20789,1991,1997,0,1290,1979,1997
gulfstream aerospace corporation,20791,1999,2023,0,2805,1985,2018
"national broadcasting company, inc",20792,1986,2011,0,5192,1978,2004
"nbc studios, inc",20792,1986,2011,0,4152,2000,2019
"nbc studios, inc (employer for hire)",20792,1986,2011,0,2956,2000,2007
